"Activity.Label","subject","Set.Type","Mean.Value"
"LAYING","1","Test",NA
"LAYING","10","Test",-0.604927518574841
"LAYING","11","Test",NA
"LAYING","12","Test",-0.601370216513872
"LAYING","13","Test",-0.602841604257323
"LAYING","14","Test",NA
"LAYING","15","Test",NA
"LAYING","16","Test",NA
"LAYING","17","Test",NA
"LAYING","18","Test",-0.594513102996289
"LAYING","19","Test",NA
"LAYING","2","Test",-0.594554938801989
"LAYING","20","Test",-0.603095427272892
"LAYING","21","Test",NA
"LAYING","22","Test",NA
"LAYING","23","Test",NA
"LAYING","24","Test",-0.598072529579968
"LAYING","25","Test",NA
"LAYING","26","Test",NA
"LAYING","27","Test",NA
"LAYING","28","Test",NA
"LAYING","29","Test",NA
"LAYING","3","Test",NA
"LAYING","30","Test",NA
"LAYING","4","Test",-0.600275906171113
"LAYING","5","Test",NA
"LAYING","6","Test",NA
"LAYING","7","Test",NA
"LAYING","8","Test",NA
"LAYING","9","Test",-0.627386626286394
"SITTING","1","Test",NA
"SITTING","10","Test",-0.596116271283258
"SITTING","11","Test",NA
"SITTING","12","Test",-0.60855456226386
"SITTING","13","Test",-0.598516189463807
"SITTING","14","Test",NA
"SITTING","15","Test",NA
"SITTING","16","Test",NA
"SITTING","17","Test",NA
"SITTING","18","Test",-0.597541256457032
"SITTING","19","Test",NA
"SITTING","2","Test",-0.600393131230662
"SITTING","20","Test",-0.611578372189852
"SITTING","21","Test",NA
"SITTING","22","Test",NA
"SITTING","23","Test",NA
"SITTING","24","Test",-0.610192323390129
"SITTING","25","Test",NA
"SITTING","26","Test",NA
"SITTING","27","Test",NA
"SITTING","28","Test",NA
"SITTING","29","Test",NA
"SITTING","3","Test",NA
"SITTING","30","Test",NA
"SITTING","4","Test",-0.599869209421733
"SITTING","5","Test",NA
"SITTING","6","Test",NA
"SITTING","7","Test",NA
"SITTING","8","Test",NA
"SITTING","9","Test",-0.60997046876361
"STANDING","1","Test",NA
"STANDING","10","Test",-0.605014811783196
"STANDING","11","Test",NA
"STANDING","12","Test",-0.605736466078446
"STANDING","13","Test",-0.615774742571177
"STANDING","14","Test",NA
"STANDING","15","Test",NA
"STANDING","16","Test",NA
"STANDING","17","Test",NA
"STANDING","18","Test",-0.625999518491724
"STANDING","19","Test",NA
"STANDING","2","Test",-0.607694266118594
"STANDING","20","Test",-0.613397381806977
"STANDING","21","Test",NA
"STANDING","22","Test",NA
"STANDING","23","Test",NA
"STANDING","24","Test",-0.615423749421368
"STANDING","25","Test",NA
"STANDING","26","Test",NA
"STANDING","27","Test",NA
"STANDING","28","Test",NA
"STANDING","29","Test",NA
"STANDING","3","Test",NA
"STANDING","30","Test",NA
"STANDING","4","Test",-0.599570831279334
"STANDING","5","Test",NA
"STANDING","6","Test",NA
"STANDING","7","Test",NA
"STANDING","8","Test",NA
"STANDING","9","Test",-0.613981626306951
"WALKING","1","Test",NA
"WALKING","10","Test",-0.176003777762687
"WALKING","11","Test",NA
"WALKING","12","Test",-0.216009503152813
"WALKING","13","Test",-0.174015896411719
"WALKING","14","Test",NA
"WALKING","15","Test",NA
"WALKING","16","Test",NA
"WALKING","17","Test",NA
"WALKING","18","Test",-0.342449748521331
"WALKING","19","Test",NA
"WALKING","2","Test",-0.263447535461266
"WALKING","20","Test",-0.0854573801276848
"WALKING","21","Test",NA
"WALKING","22","Test",NA
"WALKING","23","Test",NA
"WALKING","24","Test",-0.309113759019627
"WALKING","25","Test",NA
"WALKING","26","Test",NA
"WALKING","27","Test",NA
"WALKING","28","Test",NA
"WALKING","29","Test",NA
"WALKING","3","Test",NA
"WALKING","30","Test",NA
"WALKING","4","Test",-0.333616309878114
"WALKING","5","Test",NA
"WALKING","6","Test",NA
"WALKING","7","Test",NA
"WALKING","8","Test",NA
"WALKING","9","Test",-0.252828358805236
"WALKING_DOWNSTAIRS","1","Test",NA
"WALKING_DOWNSTAIRS","10","Test",-0.0933115238128125
"WALKING_DOWNSTAIRS","11","Test",NA
"WALKING_DOWNSTAIRS","12","Test",-0.153828979531464
"WALKING_DOWNSTAIRS","13","Test",-0.154798328885655
"WALKING_DOWNSTAIRS","14","Test",NA
"WALKING_DOWNSTAIRS","15","Test",NA
"WALKING_DOWNSTAIRS","16","Test",NA
"WALKING_DOWNSTAIRS","17","Test",NA
"WALKING_DOWNSTAIRS","18","Test",-0.34903537222669
"WALKING_DOWNSTAIRS","19","Test",NA
"WALKING_DOWNSTAIRS","2","Test",-0.0960628386705871
"WALKING_DOWNSTAIRS","20","Test",-0.0716770818880729
"WALKING_DOWNSTAIRS","21","Test",NA
"WALKING_DOWNSTAIRS","22","Test",NA
"WALKING_DOWNSTAIRS","23","Test",NA
"WALKING_DOWNSTAIRS","24","Test",-0.21659658268443
"WALKING_DOWNSTAIRS","25","Test",NA
"WALKING_DOWNSTAIRS","26","Test",NA
"WALKING_DOWNSTAIRS","27","Test",NA
"WALKING_DOWNSTAIRS","28","Test",NA
"WALKING_DOWNSTAIRS","29","Test",NA
"WALKING_DOWNSTAIRS","3","Test",NA
"WALKING_DOWNSTAIRS","30","Test",NA
"WALKING_DOWNSTAIRS","4","Test",-0.237339899003328
"WALKING_DOWNSTAIRS","5","Test",NA
"WALKING_DOWNSTAIRS","6","Test",NA
"WALKING_DOWNSTAIRS","7","Test",NA
"WALKING_DOWNSTAIRS","8","Test",NA
"WALKING_DOWNSTAIRS","9","Test",-0.156501892566705
"WALKING_UPSTAIRS","1","Test",NA
"WALKING_UPSTAIRS","10","Test",-0.205733713321636
"WALKING_UPSTAIRS","11","Test",NA
"WALKING_UPSTAIRS","12","Test",-0.326609725707612
"WALKING_UPSTAIRS","13","Test",-0.318594652444451
"WALKING_UPSTAIRS","14","Test",NA
"WALKING_UPSTAIRS","15","Test",NA
"WALKING_UPSTAIRS","16","Test",NA
"WALKING_UPSTAIRS","17","Test",NA
"WALKING_UPSTAIRS","18","Test",-0.409864052034829
"WALKING_UPSTAIRS","19","Test",NA
"WALKING_UPSTAIRS","2","Test",-0.245280103879352
"WALKING_UPSTAIRS","20","Test",-0.206644877774993
"WALKING_UPSTAIRS","21","Test",NA
"WALKING_UPSTAIRS","22","Test",NA
"WALKING_UPSTAIRS","23","Test",NA
"WALKING_UPSTAIRS","24","Test",-0.340369136263789
"WALKING_UPSTAIRS","25","Test",NA
"WALKING_UPSTAIRS","26","Test",NA
"WALKING_UPSTAIRS","27","Test",NA
"WALKING_UPSTAIRS","28","Test",NA
"WALKING_UPSTAIRS","29","Test",NA
"WALKING_UPSTAIRS","3","Test",NA
"WALKING_UPSTAIRS","30","Test",NA
"WALKING_UPSTAIRS","4","Test",-0.319770178845403
"WALKING_UPSTAIRS","5","Test",NA
"WALKING_UPSTAIRS","6","Test",NA
"WALKING_UPSTAIRS","7","Test",NA
"WALKING_UPSTAIRS","8","Test",NA
"WALKING_UPSTAIRS","9","Test",-0.340098264025389
"LAYING","1","Train",-0.562911611255539
"LAYING","10","Train",NA
"LAYING","11","Train",-0.595303144641248
"LAYING","12","Train",NA
"LAYING","13","Train",NA
"LAYING","14","Train",-0.610177608005162
"LAYING","15","Train",-0.608613628686864
"LAYING","16","Train",-0.625143853489437
"LAYING","17","Train",-0.599068861906119
"LAYING","18","Train",NA
"LAYING","19","Train",-0.60334569421077
"LAYING","2","Train",NA
"LAYING","20","Train",NA
"LAYING","21","Train",-0.613675758877626
"LAYING","22","Train",-0.597893437112844
"LAYING","23","Train",-0.598603350517156
"LAYING","24","Train",NA
"LAYING","25","Train",-0.570587047807129
"LAYING","26","Train",-0.595254205333886
"LAYING","27","Train",-0.594096888281148
"LAYING","28","Train",-0.631110193103237
"LAYING","29","Train",-0.584565825026074
"LAYING","3","Train",-0.59842632621547
"LAYING","30","Train",-0.610720545199801
"LAYING","4","Train",NA
"LAYING","5","Train",-0.59602738987166
"LAYING","6","Train",-0.582493067922139
"LAYING","7","Train",-0.617707648273444
"LAYING","8","Train",-0.59533678345489
"LAYING","9","Train",NA
"SITTING","1","Train",-0.584725960255462
"SITTING","10","Train",NA
"SITTING","11","Train",-0.598457780278531
"SITTING","12","Train",NA
"SITTING","13","Train",NA
"SITTING","14","Train",-0.623596741200323
"SITTING","15","Train",-0.60012367783369
"SITTING","16","Train",-0.595799444811891
"SITTING","17","Train",-0.601819633581572
"SITTING","18","Train",NA
"SITTING","19","Train",-0.617821356990207
"SITTING","2","Train",NA
"SITTING","20","Train",NA
"SITTING","21","Train",-0.602270092758525
"SITTING","22","Train",-0.608107074555336
"SITTING","23","Train",-0.591440568414947
"SITTING","24","Train",NA
"SITTING","25","Train",-0.604509610361155
"SITTING","26","Train",-0.603944118434526
"SITTING","27","Train",-0.603338306546586
"SITTING","28","Train",-0.616165945460807
"SITTING","29","Train",-0.599502576192753
"SITTING","3","Train",-0.587788224394425
"SITTING","30","Train",-0.61101762170298
"SITTING","4","Train",NA
"SITTING","5","Train",-0.595146662811886
"SITTING","6","Train",-0.591247923581489
"SITTING","7","Train",-0.600501628002714
"SITTING","8","Train",-0.600673533320371
"SITTING","9","Train",NA
"STANDING","1","Train",-0.604246709315753
"STANDING","10","Train",NA
"STANDING","11","Train",-0.604886977432674
"STANDING","12","Train",NA
"STANDING","13","Train",NA
"STANDING","14","Train",-0.631031797134703
"STANDING","15","Train",-0.611901288939454
"STANDING","16","Train",-0.614099873786586
"STANDING","17","Train",-0.61632620123835
"STANDING","18","Train",NA
"STANDING","19","Train",-0.619975149879974
"STANDING","2","Train",NA
"STANDING","20","Train",NA
"STANDING","21","Train",-0.620404311959377
"STANDING","22","Train",-0.628399926772542
"STANDING","23","Train",-0.618083379460514
"STANDING","24","Train",NA
"STANDING","25","Train",-0.613945839713307
"STANDING","26","Train",-0.613241650652751
"STANDING","27","Train",-0.610806197582251
"STANDING","28","Train",-0.618516796926162
"STANDING","29","Train",-0.609616980359735
"STANDING","3","Train",-0.614465465564024
"STANDING","30","Train",-0.622602898948469
"STANDING","4","Train",NA
"STANDING","5","Train",-0.59099275703927
"STANDING","6","Train",-0.608446224524601
"STANDING","7","Train",-0.618483174871523
"STANDING","8","Train",-0.605993482687088
"STANDING","9","Train",NA
"WALKING","1","Train",-0.163082309727183
"WALKING","10","Train",NA
"WALKING","11","Train",-0.338059768711685
"WALKING","12","Train",NA
"WALKING","13","Train",NA
"WALKING","14","Train",-0.269661976895567
"WALKING","15","Train",-0.276794393081715
"WALKING","16","Train",-0.3394456086821
"WALKING","17","Train",-0.276365528036381
"WALKING","18","Train",NA
"WALKING","19","Train",-0.0582919209468765
"WALKING","2","Train",NA
"WALKING","20","Train",NA
"WALKING","21","Train",-0.200489403444651
"WALKING","22","Train",-0.121473745947508
"WALKING","23","Train",-0.0788643651638404
"WALKING","24","Train",NA
"WALKING","25","Train",-0.385361945079112
"WALKING","26","Train",-0.271406731805143
"WALKING","27","Train",-0.266781630894431
"WALKING","28","Train",-0.285088922798751
"WALKING","29","Train",-0.216790400944455
"WALKING","3","Train",-0.273821880450755
"WALKING","30","Train",-0.245849040422536
"WALKING","4","Train",NA
"WALKING","5","Train",-0.255474472944623
"WALKING","6","Train",-0.189527910222856
"WALKING","7","Train",-0.153995682216284
"WALKING","8","Train",-0.146954599336204
"WALKING","9","Train",NA
"WALKING_DOWNSTAIRS","1","Train",-0.123381646209478
"WALKING_DOWNSTAIRS","10","Train",NA
"WALKING_DOWNSTAIRS","11","Train",-0.213173995361216
"WALKING_DOWNSTAIRS","12","Train",NA
"WALKING_DOWNSTAIRS","13","Train",NA
"WALKING_DOWNSTAIRS","14","Train",-0.0195228493394599
"WALKING_DOWNSTAIRS","15","Train",-0.117572917318394
"WALKING_DOWNSTAIRS","16","Train",-0.202456371341026
"WALKING_DOWNSTAIRS","17","Train",-0.230166805184095
"WALKING_DOWNSTAIRS","18","Train",NA
"WALKING_DOWNSTAIRS","19","Train",0.131192702848313
"WALKING_DOWNSTAIRS","2","Train",NA
"WALKING_DOWNSTAIRS","20","Train",NA
"WALKING_DOWNSTAIRS","21","Train",-0.133868540547457
"WALKING_DOWNSTAIRS","22","Train",-0.131500793139993
"WALKING_DOWNSTAIRS","23","Train",-0.000956979995532116
"WALKING_DOWNSTAIRS","24","Train",NA
"WALKING_DOWNSTAIRS","25","Train",-0.335078553679007
"WALKING_DOWNSTAIRS","26","Train",-0.172518329775734
"WALKING_DOWNSTAIRS","27","Train",-0.158161316639386
"WALKING_DOWNSTAIRS","28","Train",-0.12543827491249
"WALKING_DOWNSTAIRS","29","Train",-0.166116177694424
"WALKING_DOWNSTAIRS","3","Train",-0.210455379815377
"WALKING_DOWNSTAIRS","30","Train",-0.215537696652668
"WALKING_DOWNSTAIRS","4","Train",NA
"WALKING_DOWNSTAIRS","5","Train",-0.137460044128552
"WALKING_DOWNSTAIRS","6","Train",-0.00181489215397099
"WALKING_DOWNSTAIRS","7","Train",-0.152405983197827
"WALKING_DOWNSTAIRS","8","Train",0.00160145094544304
"WALKING_DOWNSTAIRS","9","Train",NA
"WALKING_UPSTAIRS","1","Train",-0.307103990105455
"WALKING_UPSTAIRS","10","Train",NA
"WALKING_UPSTAIRS","11","Train",-0.362325282497288
"WALKING_UPSTAIRS","12","Train",NA
"WALKING_UPSTAIRS","13","Train",NA
"WALKING_UPSTAIRS","14","Train",-0.14535777328429
"WALKING_UPSTAIRS","15","Train",-0.286174878885419
"WALKING_UPSTAIRS","16","Train",-0.365971891945078
"WALKING_UPSTAIRS","17","Train",-0.298654572097386
"WALKING_UPSTAIRS","18","Train",NA
"WALKING_UPSTAIRS","19","Train",-0.172522155198731
"WALKING_UPSTAIRS","2","Train",NA
"WALKING_UPSTAIRS","20","Train",NA
"WALKING_UPSTAIRS","21","Train",-0.272735241321592
"WALKING_UPSTAIRS","22","Train",-0.16862879193324
"WALKING_UPSTAIRS","23","Train",-0.243025295195815
"WALKING_UPSTAIRS","24","Train",NA
"WALKING_UPSTAIRS","25","Train",-0.426504552177634
"WALKING_UPSTAIRS","26","Train",-0.305115745183321
"WALKING_UPSTAIRS","27","Train",-0.342018443149963
"WALKING_UPSTAIRS","28","Train",-0.295372554581159
"WALKING_UPSTAIRS","29","Train",-0.245353572484911
"WALKING_UPSTAIRS","3","Train",-0.332762922095754
"WALKING_UPSTAIRS","30","Train",-0.351435833812871
"WALKING_UPSTAIRS","4","Train",NA
"WALKING_UPSTAIRS","5","Train",-0.230117115133272
"WALKING_UPSTAIRS","6","Train",-0.18605013871588
"WALKING_UPSTAIRS","7","Train",-0.343348262765969
"WALKING_UPSTAIRS","8","Train",-0.14179250066879
"WALKING_UPSTAIRS","9","Train",NA
